iter	Passed	Remaining
0	144	144527
1	147	73622
2	150	49955
3	152	37861
4	153	30589
5	156	25845
6	157	22393
7	159	19829
8	161	17820
9	164	16260
10	165	14919
11	167	13817
12	169	12886
13	171	12090
14	173	11382
15	174	10745
16	176	10181
17	177	9678
18	178	9236
19	180	8830
20	181	8475
21	183	8150
22	184	7848
23	188	7660
24	190	7448
25	193	7237
26	194	7015
27	195	6802
28	197	6606
29	198	6416
30	200	6259
31	201	6106
32	203	5955
33	204	5812
34	205	5674
35	207	5546
36	208	5423
37	209	5310
38	211	5200
39	212	5091
40	213	4991
41	214	4889
42	215	4796
43	216	4707
44	217	4623
45	218	4540
46	220	4462
47	221	4387
48	222	4314
49	223	4251
50	224	4184
51	226	4122
52	227	4061
53	228	4001
54	229	3945
55	230	3890
56	231	3836
57	233	3785
58	234	3735
59	235	3691
60	236	3646
61	237	3600
62	239	3556
63	240	3512
64	241	3469
65	242	3429
66	243	3388
67	243	3343
68	245	3306
69	246	3272
70	247	3236
71	248	3202
72	249	3168
73	250	3136
74	251	3104
75	252	3075
76	254	3045
77	255	3018
78	256	2990
79	257	2962
80	258	2934
81	259	2907
82	260	2881
83	261	2856
84	262	2828
85	264	2807
86	265	2783
87	266	2765
88	267	2743
89	269	2720
90	270	2699
91	271	2682
92	272	2661
93	274	2644
94	275	2626
95	277	2610
96	278	2592
97	279	2573
98	280	2556
99	282	2540
100	283	2524
101	284	2502
102	285	2484
103	286	2467
104	287	2452
105	288	2435
106	290	2421
107	291	2406
108	292	2392
109	294	2379
110	295	2364
111	296	2348
112	297	2333
113	298	2319
114	299	2306
115	301	2300
116	304	2296
117	306	2292
118	307	2277
119	308	2263
120	309	2250
121	310	2237
122	311	2221
123	312	2208
124	314	2198
125	315	2188
126	316	2179
127	318	2167
128	319	2157
129	320	2147
130	322	2136
131	323	2124
132	324	2114
133	325	2103
134	326	2095
135	329	2093
136	332	2091
137	332	2079
138	334	2070
139	335	2059
140	336	2050
141	337	2041
142	338	2031
143	340	2021
144	341	2011
145	342	2002
146	343	1992
147	344	1982
148	345	1974
149	346	1965
150	347	1956
151	349	1947
152	350	1939
153	351	1931
154	352	1923
155	354	1915
156	355	1907
157	356	1899
158	357	1891
159	359	1885
160	360	1877
161	361	1870
162	362	1862
163	363	1855
164	365	1847
165	366	1840
166	367	1832
167	368	1824
168	369	1816
169	370	1809
170	371	1801
171	372	1794
172	373	1787
173	375	1781
174	376	1774
175	377	1768
176	378	1761
177	379	1754
178	381	1748
179	382	1742
180	383	1733
181	384	1726
182	385	1720
183	386	1714
184	387	1708
185	388	1701
186	390	1696
187	391	1690
188	392	1684
189	393	1678
190	394	1672
191	395	1666
192	397	1660
193	398	1654
194	399	1650
195	401	1645
196	402	1638
197	403	1632
198	404	1626
199	405	1620
200	406	1614
201	407	1608
202	408	1603
203	409	1597
204	410	1591
205	411	1587
206	413	1582
207	414	1577
208	415	1572
209	416	1567
210	417	1562
211	419	1557
212	420	1552
213	421	1547
214	422	1543
215	424	1539
216	425	1534
217	426	1529
218	427	1525
219	428	1520
220	429	1514
221	430	1509
222	431	1504
223	433	1500
224	434	1495
225	435	1491
226	436	1486
227	437	1482
228	438	1477
229	440	1473
230	441	1468
231	442	1464
232	443	1460
233	444	1456
234	446	1452
235	447	1447
236	448	1443
237	449	1439
238	450	1435
239	451	1430
240	452	1426
241	454	1422
242	455	1417
243	456	1413
244	457	1409
245	458	1405
246	459	1401
247	460	1397
248	461	1393
249	463	1389
250	464	1385
251	465	1381
252	466	1377
253	467	1374
254	469	1370
255	470	1366
256	472	1364
257	473	1361
258	474	1358
259	476	1354
260	477	1351
261	478	1348
262	479	1344
263	480	1340
264	482	1337
265	483	1333
266	484	1329
267	485	1325
268	486	1322
269	487	1318
270	488	1314
271	489	1310
272	490	1306
273	491	1303
274	492	1299
275	494	1296
276	495	1292
277	496	1288
278	497	1284
279	498	1280
280	499	1277
281	500	1274
282	501	1270
283	502	1268
284	504	1264
285	505	1261
286	506	1257
287	507	1254
288	508	1251
289	509	1248
290	511	1245
291	512	1242
292	513	1239
293	514	1235
294	515	1232
295	516	1229
296	518	1226
297	519	1223
298	520	1220
299	521	1217
300	522	1213
301	523	1210
302	525	1207
303	526	1204
304	527	1201
305	528	1198
306	529	1195
307	530	1192
308	531	1189
309	533	1186
310	534	1183
311	535	1180
312	536	1178
313	537	1174
314	539	1172
315	540	1169
316	541	1166
317	542	1163
318	543	1160
319	544	1157
320	545	1154
321	546	1151
322	548	1148
323	549	1145
324	550	1142
325	551	1139
326	552	1136
327	553	1133
328	554	1130
329	555	1127
330	556	1125
331	557	1122
332	559	1119
333	560	1117
334	561	1114
335	562	1111
336	563	1108
337	564	1105
338	565	1102
339	566	1100
340	568	1097
341	569	1095
342	570	1092
343	571	1089
344	572	1087
345	573	1084
346	574	1081
347	575	1079
348	576	1076
349	577	1073
350	578	1070
351	579	1067
352	581	1064
353	582	1062
354	583	1059
355	584	1057
356	585	1054
357	586	1052
358	588	1050
359	589	1047
360	590	1045
361	591	1042
362	592	1040
363	594	1038
364	595	1035
365	596	1033
366	597	1030
367	598	1028
368	600	1026
369	601	1023
370	602	1021
371	603	1019
372	604	1016
373	606	1014
374	607	1012
375	608	1009
376	609	1007
377	610	1004
378	611	1002
379	612	999
380	613	997
381	615	995
382	616	992
383	617	990
384	618	987
385	619	985
386	620	983
387	621	981
388	623	978
389	624	976
390	625	974
391	626	972
392	627	969
393	629	967
394	630	965
395	631	962
396	632	960
397	633	958
398	634	956
399	636	954
400	637	952
401	638	949
402	639	947
403	640	945
404	641	943
405	643	941
406	644	938
407	645	936
408	646	934
409	648	932
410	649	930
411	650	928
412	651	926
413	652	924
414	653	921
415	655	919
416	656	917
417	657	915
418	658	913
419	659	911
420	661	909
421	662	907
422	663	905
423	664	903
424	665	900
425	667	898
426	668	896
427	669	894
428	670	892
429	671	890
430	673	889
431	674	887
432	676	885
433	677	883
434	678	881
435	680	879
436	681	877
437	682	875
438	683	873
439	684	870
440	685	868
441	686	866
442	687	864
443	688	862
444	689	860
445	691	858
446	692	856
447	693	854
448	694	852
449	695	850
450	696	848
451	698	846
452	699	844
453	700	842
454	701	840
455	702	838
456	703	836
457	705	834
458	706	832
459	707	830
460	708	828
461	709	826
462	710	823
463	711	821
464	712	819
465	713	817
466	715	816
467	716	814
468	717	812
469	718	810
470	719	808
471	721	806
472	722	804
473	723	802
474	724	800
475	725	798
476	726	797
477	728	795
478	729	793
479	730	791
480	731	789
481	733	787
482	734	785
483	735	783
484	736	781
485	737	780
486	738	778
487	739	776
488	741	774
489	742	772
490	743	770
